35,35,국가의 복지 증진과 국민의 건강유지 향상을 위하여 필요한 전문 지식을 탐구하며 건전하고 유능한 보건행정의 전문 인재 양성을 목적으로 하는 학과이다.,건강에 대하여 관심이 많은 학생;남을 돕고 싶은 따뜻한 마음이 있는 학생;국제 사회에서 일을 하고 싶은 학생;다양한 인문학적 소양을 가진 학생;세상을 건강하고 아름답게 바꾸고 싶은 욕구를 가진 학생,확률과 통계;생활과 윤리;경제;정치와 법;사회·문화;생명과학Ⅰ;보건,생활과 과학;사회문제 탐구
62,62,"스마트 애플리케이션을 비롯하여 웹, 컴퓨터그래픽, 가상현실, 증강현실, 인공지능 등 다양하고 첨단화되는 소프트웨어를 개발하거나 응용하는 데 필요한 이론과 기술을 겸비한 인력 양성을 목적으로 하는 학과이다.",공학 및 과학의 기초지식을 바탕으로 한 논리력과 창의력이 있는 학생;컴퓨터에 대한 제반 지식과 기능을 다루기 때문에 기계 및 컴퓨터에 흥미가 있는 학생;소프트웨어 응용 및 게임 개발 등을 위한 프로그래밍 기초 지식이 있는 학생이 유리,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;세계사;사회·문화;물리학Ⅰ;정보,인공지능 기초;인공지능 수학;기하;영어권 문화
29,29,"인간의 마음과 행동과정을 과학적으로 연구한다. 인간의 심리와 행동에 대한 지식을 습득하여 인간의 마음과 행동 및사회현상을올바르게이해하고,이러한 지식을 개인과 사회의 문제해결과 삶의 질 향상을 위해 적용하는 인재 양성을 목적으로 하는 학과이다.",과학적인 사고방식을 가지고 인간에 대한 궁금증을 탐구해 보려는 학생;사람의 심리나 행동 및 관계 형성 양상에 깊은 관심을 지닌 학생;무언가를 알아내기 위해 단순한 직감보다는 논리적 사고를 즐기는 학생,확률과 통계;생활과 윤리;윤리와 사상;사회·문화;생명과학Ⅰ;심리학,사회문제 탐구;생명과학Ⅱ
110,110,"고등교육, 기업과 산업교육, 나아가 평생 교육까지를 아우르는 학문으로서 교육이 무엇인가라는 거대 담론으로부터 시작해 인간으로서 어떻게 사는 것이 잘 사는 것인지를 고민하며, 왜, 누가, 어디서, 누구에게, 무엇을, 어떻게 가르칠 것인가 하는 구체적인 문제를 탐구하는 교육 전문가 양성을 목적으로 하는 학과이다.",교육에 대한 관심과 흥미가 많은 학생;평소 교육 정책을 비롯해 교육 문제와 청소년 문제에 관심을 가진 학생;교육이론을 개척하기 위한 창의력과 실천에 필요한 추진력을 가진 학생,확률과 통계;생활과 윤리;윤리와 사상;동아시아사;세계사;사회·문화;정치와 법;교육학,사회문제 탐구
94,94,국어 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 언어 계열 과목 교육자로서의 전문적인 소양을 갖춘 유능하고 진취적인 교사를 양성하는 것을 목적으로 인격과 전문성을 겸비한 교육 전문 인력 양성을 목적으로 하는 학과이다.,국어에 대한 지식과 열정을 기본으로 인간과 사물을 사랑하고 존중하는 따뜻한 마음을 가진 학생;변화에 대해 능동적으로 대처하는 자세를 갖춘 학생;말과 글에 대한 긍지와 애정을 가진 진취적인 태도를 갖춘 학생;미래 교육과 연구를 담당할 수 있도록 전문 능력을 갖추려는 자세를 갖춘 학생,확률과 통계;생활과 윤리;사회·문화;정치와 법;한문Ⅰ;교육학;심리학,심화 국어;고전 읽기;한문Ⅱ
26,26,"경제·문화적 요인들이 국제 관계에서 점차 중요해지고, 다양한 국제적 상호의존성이 증대되고 있는 지구화 시대에 발맞춰 국제적 감각과 능력을 겸비한 인재 양성을 목적으로 하는 학과이다.",국제 사회의 문제를 접하면 책임감이 솟는 학생;다양한 인종과 문화를 아우르는 개방적 사고를 하는 학생;자신감이 넘치고 무슨 일이든 적극적인 자세로 임하는 학생,영어Ⅰ;영어Ⅱ;세계지리;동아시아사;세계사;경제;정치와 법;사회·문화;제2외국어Ⅰ,영어권 문화;사회문제 탐구;제2외국어Ⅱ
23,23,"광고홍보 분야의 새로운 이론과 실제를 다루는 학문으로서 마케팅, 커뮤니케이션, 심리학, 사회학 등 광범위한 관련 이론을 바탕으로 광고기획, 제작, 시장 조사, 매체 기획, 브랜드 등 다양한 분야의 인재 양성을 목적으로 하는 학과이다.","급변하는 사회경제적 환경에서 조직의 전략적 관리자가 될 만한 학생;개인과 지역사회, 국가, 인류의 복지에 기여할 만한 학생;산업계의 변화를 주도하고 발전에 기여하는 의사소통능력이 우수한 학생",확률과 통계;세계지리;세계사;동아시아사;경제;정치와 법;사회·문화;심리학,여행지리;사회문제 탐구
37,37,"대기에서 일어나는 제 현상들을 응용하는 학문으로, 대기과학 및 환경 문제에 관한 전문지식과 자질을 갖춘 인재 양성을 목적으로 하는 학과이다.","기본적으로 수학, 물리학, 화학, 지구과학 등 기초과학 과목에 흥미와 적성이 있는 학생;기상이변, 기후변동, 대기환경 문제 등의 다양한 분야에 관심이 있는 학생;컴퓨터나 계측 장비 등을 활용해야 하므로 각종 장비나 수치 분석에 관심 있는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ,기하;물리학Ⅱ;지구과학Ⅱ
67,67,"컴퓨터 하드웨어, 소프트웨어, 네트워크 등 컴퓨터와 관련된 지식과 기술을 익혀 다양한 분야에서 컴퓨팅을 적용할 수 있는 공학인 양성을 목적으로 하는 학과이다.","기본적으로 컴퓨터 하드웨어와 다양한 응용소프트웨어에 대한 관심과 흥미가 높아야 하며, 공학 및 과학에 근거한 논리적 추리력과 창의력 필요;다른 공학 분야에 비해 발전 속도가 빠르므로, 이런 새로운 것에 대한 호기심과 관심이 큰 학생;대학에 따라 수학 관련 교과목에 대한 비중이 높을 수 있으므로 수리 능력이 우수한 학생이 유리",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;정보,기하;인공지능 수학;물리학Ⅱ;화학Ⅱ;인공지능 기초
74,74,생명공학은 세포 내에서 일어나는 생명체 활동의 기본 현상과 원리를 밝히고 이를 이용하여 인간에게 유익하게 다양한 산업에 실용화할 수 있는 인력 양성을 목적으로 하는 학과이다.,"기초자연과학에 흥미가 있고,생명 현상에 호기심이 있는 학생;자연법칙과 과학적 연구 방법을 이해하고 적용할 수 있는 추론적 판단력을 가진 학생;생명 현상을 객관적으로 보는 관찰력,논리적 사고,도전 정신,분석력을 겸비한 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;생활과 윤리;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ,기하;화학Ⅱ;생명과학Ⅱ
88,88,"구강생리학, 치아형태학, 구강병리학 등의 치위생 기초과학부터 임상 영역별 질병을 예방하고 치료하는 데 필요한 치과임상학, 치주학, 보존학, 구강병리학, 치과방사선학 등의 임상치위생학, 가정 및 지역사회의 구강건강 향상을 위한 구강보건교육학 등의 다양한 분야를 학습할 인력 양성을 목적으로 하는 학과이다.",꼼꼼하고 성실하며 타인에 대한 배려의 마음이 있는 학생;구강 건강 증진과 구강 보건 교육에 관심이 있는 학생;좁은 구강 내를 주로 다루고 치과 관련 기계나 도구를 사용하므로 손놀림이 정교하고 꼼꼼한 학생,확률과 통계;생활과 윤리;정치와 법;화학Ⅰ;생명과학Ⅰ;보건,화학Ⅱ;생명과학Ⅱ;생활과 과학
